Germany	 2020-03-22	lockdown	Forbid gatherings of more than two people and require a minimum distance of 1.5 metres (4 ft 11 in) between people in public except for families, partners or people living in the same household. Restaurants and services like hairdressers were to be closed. Additional restrictions in Saxony, Bavaria and Saarland.
Spain	2020-03-15	lockdown	All residents are mandated to remain in their normal residences except to purchase food and medicines, work or attend emergencies. Lockdown restrictions also mandated the temporary closure of non-essential shops and businesses, including bars, restaurants, cafes, cinemas and commercial and retail businesses, while also announcing that the government will be able to take over private healthcare providers, if needed.
United Kingdom	2020-03-23	lockdown	The government directed people to stay at home throughout this period except for essential purchases, essential work travel (if remote work was not possible), medical needs, one exercise per day (alone or with household members), and providing care for others.
France	2020-03-23	lockdown	As of 23 March 2020, all people are required to complete and carry an attestation form to leave their homes and can be fined for non-essential journeys. Essential journeys include shopping for food, travelling to work, accessing healthcare, and exercising within 1 km of the household. 
Greece	2020-03-23	lockdown	Only those going to or returning from work, shopping for food or medicines or visiting a doctor will be allowed onto the streets from Monday.
Austria	2020-03-16	lockdown	
Denmark	2020-03-13	distancing	Starting on 13 March 2020, all people working in non-essential functions in the public sector were ordered to stay home for two weeks.[7] In the private sector, employers are urged by the authorities to allow their employees to stay home in the same period and work from there if possible, although this should not affect functions that are essential to the society (such as pharmacy workers and people working with sale of food and maintenance of critical infrastructure).
Denmark	2020-03-30	event	In late March, authorities acknowledged that the strategy of mitigation had partially worked, but had been less successful than the mass testing in China and South Korea.[91] Efforts were increased for immediate testing
Denmark	2020-03-18	lockdown	Starting on 18 March at 10:00 AM, a number of further restrictions were activated: it became illegal to assemble more than ten people in public, all shopping centres and stores with close contact such as hairdressers and nightclubs must be closed, restaurants can only serve take-away, and other businesses must ensure that there is enough space between customers.[89] Unlike previous restrictions on the number of people allowed to assemble, the new restrictions are not merely a recommendation, and breaking the new restrictions is associated with fines of DKK1500.[
South Korea	2020-02-20	event	On 20 February, the streets of Daegu were empty in reaction to the Shincheonji outbreak. A resident described the reaction, stating "It's like someone dropped a bomb in the middle of the city. It looks like a zombie apocalypse."
Italy	2020-03-09	lockdown	
Thailand	2020-03-25	lockdown	
Iceland	2020-03-24	distancing	The Icelandic government has announced a ban on gatherings of 20 people or more, starting Tuesday 24 March 2020. The ban also affects public places such as swimming pools, gyms, pubs and museums, which should remain closed for the duration of the ban.
Iceland	2020-03-16	initial	100-person limit -- with extensive testing.
Thailand	2020-03-22	distancing	Sunday, March 22, public spaces were ordered closed including department stores, malls, dine-in restaurants, and entertainment venues. (https://www.garda.com/crisis24/news-alerts/326721/thailand-entry-restrictions-and-state-of-emergency-announced-amid-covid-19-pandemic-march-25-update-16)
New Zealand	2020-03-23	distancing	Level 3 – Restrict: There is a high risk the disease is not contained. Community transmission might be happening. New clusters may emerge but can be controlled through testing and contact tracing. 
New Zealand	2020-03-25	lockdown	Level 4 – Restrict: There is a high risk the disease is not contained. Community transmission might be happening. New clusters may emerge but can be controlled through testing and contact tracing. https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Zealand
China	2020-01-23	lockdown	Lockdown in Wuhan: On the early morning of January 23, the government of Wuhan announced a sudden lockdown at around 2 o'clock which said, "Since 10:00 AM on January 23, 2020, the city's bus, metro, ferry, coach services will be suspended. Without a special reason, the citizens should not leave Wuhan. Departure from the airport and railway stations will be temporarily prohibited. Recovery time of the services will be announced in a further notice."[92] Thus, Wuhan became a locked down area of a Class A Infectious Disease according to The law on Prevention and Treatment of Infections Diseases.
China	2020-01-28	lockdown	Lockdown in Xiangyang -- after the lockdown in Wuhan on 23rd Jan, a further 16 cities implemented similar restrictions. The last of these was Xiangyang on the 28th.
